bea_code,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
111CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113FF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,0.0,0.0,0.0,0.0,0.0,1865.2317755261524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.657243271316361,1.3820630741360125,11.627201579674502,5.343804869718036
213,0.0,0.0,1171364.0346463986,31121.52375801435,17616.23731946014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2686.51286858657,797.2377686908051,6707.106511205359,3082.553286002714
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,64291.369342063204,25763.92379933588,150652.22803708346,12409.076163188245,446.68747561185234,1272231.5502798005,9149.303913301263,8072.792831659614,12561.642663140712,19994.263699641528,24666.75981379007,37052.46281408443,94939.96468687218,11813.621988231349,37215.958133219036,39532.64845864897,4348.6458947634055,17557.666601457244,60602.651865320906,5151.231302052663,3087.5017268504835,10054.98615216129,5936.835459544726,25891.963529486264,193086.08406064013,14170.692320388607,95198.60762614095,116781.83728486586,135063.20406337347,140847.9493447277,394009.4247723355,12203.493875470522,186921.24792440564,0.0,16502.29865568405,3420.921362516176,156765.0204246398,9775.79208860647,9558.008853581658,49899.92410055592,103916.47969963531,301722.9021792705,44008.592101886214,279384.2952289498,35209.29565604679,45657.42791233898,34165.46479837684,20354855.25849846,1341986.7722660524,9281.614377190977,5280.007112191004,13435.312789154708,57646.87346498308,73686.02484209587,19994.136956290065,45218.946622085474,401929.93035145645,73328.60751961716,350718.99796877743,65483.02366366861,32037.92877175204,134003.32452165737,144508.60883909013,382215.33225759456,88093.79966075557,308631.63681825774,851481.5646624474,482634.34826392884,711986.1719440193,8749370.319670802,2752924.4098843317
321,0.0,0.0,0.0,0.0,0.0,0.0,5.918049103043276,15.465120367115578,80.39451304432565,77.59740116279711,134.37145423874713,163.12405012508606,442.69655187156843,37.50356186744655,137.10340695793712,17.3236846882937,60.735277859786926,27.563055889313944,222.53115740008144,21.11160369688144,12.70576842323864,0.0,34.56672756650635,206.31046636978886,816.4316450781548,53.67686485005911,20.973476013724703,144.02270278346643,166.5684334819339,173.70254499862796,485.917190522447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.39366784878109,0.0,691635.0593769741,45599.19926401774,30.233271586913343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.5462724648075,0.0,0.0,2331.6070480131107,691.9174749378385,5821.054124157685,2675.3279507963534
327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,6289.55588122668,964.7284242047674,6530.172622142216,1954.7040327897903,2177.601443606637,19130.582313075483,4071.617782891495,1299.0701108389417,1989.7641978483643,2819.372242245946,2572.2535525612866,3029.44664517434,1697.003448842713,881.3337038843805,2391.692765827674,1229.9816128645537,692.3821676014686,1626.220297473901,12535.92186689104,496.12268687805243,304.93844215793285,2831.2724165233244,432.08409458107343,10418.678551649778,26289.098971512914,912.506702450289,10088.241962587483,1827.7166805614615,2113.832739194702,2204.3680115280154,6166.520536870552,586.3540600843421,555.3687332225401,737.7380178082232,458.08682795089425,160.98453470652393,2345.9554112808796,1880.6423981690461,923.6731245057732,1191.4977101388145,599.5181521139863,1189.7862755986814,186.4770851778379,1477.9046168867178,123.36823985998987,288.4841696234788,0.0,8539.597887049415,563.0119821233175,564.3544029557157,150.14238233762353,88.55667563484961,2340.060165363633,920.3083868693417,2781.4424394894236,1287.7887711157612,1046.9954770390027,257.7455448844993,1335.5635870837827,371.59345080304485,406.9169615382772,972.6970610058822,1388.784033003068,806.7619379651022,4667.32887255335,4990.271156914392,0.0,1080.8386884268505,320.7449457446632,2698.4051665905968,1240.173791690904
333,220756.68463352576,25338.30831811023,97437.04938822206,79593.79117799709,60163.21937149644,196279.77453243374,69093.22327794353,21542.912671422728,47251.87504180238,91306.2753682338,100586.6314584837,98480.31940399061,198992.10006668326,32290.566767900516,132457.12483292,44677.78281103186,11017.379403778556,46884.75806770032,141801.79863242115,24056.672412651078,7737.812969766924,63597.78741237768,18691.95793156417,116926.45681507373,269749.0155339088,74932.90333064202,82006.29121354304,13565.56695733815,15689.16006802205,16361.125428854644,45768.77156447883,12982.245361614841,21461.034619588565,2964.871656474192,13977.234677240875,3903.874966643882,5427.89683394772,11177.402932531448,13212.54165051288,36984.088922694194,24580.24423663471,21450.639519416833,9790.046971821575,26934.057609786832,4712.666762656489,10404.662384452422,159.54519919188652,129903.20514601529,8564.461931445396,6852.874893033691,3753.5595584253338,1695.227790720305,45702.39244702748,20185.43061863027,33995.40759368128,9599.87993011899,24468.67207439718,24518.04495716278,38571.07639506463,7080.919645851294,6185.137815381399,9898.623032589878,14188.11795878643,8233.7174257114,69343.17182082802,85034.22051392937,205517.854199863,19125.14861839098,5675.495170224275,47747.55048680794,21944.540228402726
334,9097.993935146229,2837.4365417757344,52585.07427303781,11486.631563537081,18677.120073983813,350328.78860803315,20168.711343183855,3278.6055178404245,10813.062004481291,18106.060271329537,19579.840474794684,28150.550364453913,67806.35519506496,10838.529379724363,24114.96591273059,25708.348077369712,1992.1171138018303,15242.369906788676,36371.48139283803,2617.8388584207128,1956.688337184094,9539.006599614258,5435.6179098287985,35072.77928290503,189493.7848224259,6629.092808982453,94800.11158193758,19864.845648151695,22974.546075362676,23958.543885104133,67021.86392135138,92176.69060177883,17732.130267872373,26586.407811615325,13105.752419209364,7707.134599089832,75898.55742387383,18114.489514480738,8554.016326946972,68916.22755436572,50559.364161594494,658072.5133598576,89788.71651291914,267229.2837888418,65360.493477911186,58485.35732163107,2028.5032468682714,137719.1082966378,9079.761033736679,18744.628383896368,14914.143312143598,28730.315766641863,116758.8280768922,86999.81950539324,46102.07251151502,9746.219563193607,68287.37166887325,95945.77908329427,239386.41734931967,8133.76775645958,7948.444648715309,23401.94693831133,10547.251710084303,7948.9779181896765,8895.571056749426,50002.51699228985,35792.70249006551,20541.905904860625,6095.925844881184,51284.604833975325,23570.15307389973
335,487.6928357103534,312.11801959533085,5957.350462305358,3316.407965750739,3070.97639482831,176862.23348456644,3497.567019894579,896.9769812951702,1828.9751717599179,6440.584296511854,4453.453911901711,4241.225303246117,11436.327590058034,1706.4120649690226,4067.4010730902187,3326.147460154028,400.8528338746961,1846.7247445798596,9964.450714694354,496.12268687805243,330.3499790050267,4511.513523533613,570.3510048466892,7169.288706362441,24737.878845846277,791.7337565381417,7382.663556821287,1004.7298075102624,1162.0131192964566,1211.7820401058061,3389.8508767437547,842.8839613722665,2380.151713812343,292.31129007441785,1932.9029569615268,402.46133676732666,1149.9781427866064,1667.739485172815,1204.7910319595544,1715.7567026015158,3796.948296717836,21502.369357518197,1305.3395962468535,1266.775385902901,394.7783675527801,538.5037832966857,0.0,215009.7061218486,14175.496600776021,775.9873040646139,125.11865194717215,493.3871928223606,3133.645786664215,1165.7239567007562,2311.1502395775537,1434.128404190378,3451.207313191869,998.7639864280703,2217.0355545615307,1032.2040300107383,515.4281512812679,57.21747417684689,225.208221567842,1708.43704509928,3154.9191682047453,8283.850120482224,0.0,2290.2889410350836,679.6560948449754,5717.899976808712,2627.91881016032
3361MV,206058.63158489793,5930.2423723173915,21652.677641827126,24027.485526645996,13344.788333897865,212540.76949810828,155875.49532527046,2675.4658235150036,7496.78834138022,6880.302903101138,7563.193281415949,10626.36669386333,7857.86379572289,3787.859748606376,5941.147634847335,2737.142180748767,1506.2348909255825,2756.3055889313946,25096.569417946972,1372.2542403045018,1029.167242280069,3625.0871127487385,2765.3382053225555,7839.797722058115,31922.477322580515,2589.908729014253,179616.84858169447,22882.464182698033,26464.551348291825,27598.02578035683,77202.98600854134,15061.969918439083,8687.553755411993,1712.108984726687,90667.67338583837,30345.58479224179,19917.621432991447,58282.17243387758,8313.0581205592,28834.244585347133,39768.0374235672,76956.75576785437,16782.937665945756,36042.775860852205,11226.509827283453,47657.58482174498,364.6747410100263,141120.47355682994,9304.011568988079,427135.6609798956,3453.274793752121,3959.748496245682,51501.671987289265,32333.50132537033,28445.959634713156,27804.530285400644,4769.646062051568,15303.641727520324,13542.614773070005,2353.425188417916,4177.680805125762,4577.397934147751,3791.0050630593614,12220.070530963765,23450.48165236035,130113.00329779022,26628.216252116086,20563.99795624651,6102.481785107622,51339.75950818717,23595.501891907494
3364OT,4372.418527055157,2241.5748680089364,47315.11040252243,12013.742763322998,530.4413772892651,765.2232925230193,142.03317847250975,231.97680550724752,241.18353913267003,439.7186065892857,211.15514237473784,233.03435732126002,590.2620691627715,112.51068560254414,213.2719663792395,6375.115965288396,36.44116671587215,275.6305588931395,865.3989454456708,31.667405545425133,12.70576842323864,476.28881773422506,86.41681891621468,2836.7689125845964,12858.798409956988,53.67686485005911,629.2042804107195,24.003783797140535,27.761405580391397,28.95042416636903,80.98619842040783,112222.67003080362,172283.31488505445,21658.874636044562,22.34569892439431,1670.2145475799316,643.9877599600776,10095.146458105915,803.1940213098177,142.97972521645482,199.8393840379954,275.89246970364934,93.23854258872008,331.77450583200203,197.38918377639004,346.18100354736066,22.792171313126644,940.8031570479211,62.026743793253864,9493.247278297857,0.0,63.25476831059252,2462.1502609475583,490.83113966385383,1115.2643597918702,321.9471927784305,504.10893338722633,2319.709903965578,240.40144567528517,185.79672540152242,54.25559487170157,1544.8718027692016,7206.663090179199,2515.198983065418,97.57481963529405,1729.9606677285344,394457.46043703967,2790.285801987111,828.0329689839772,6966.184413069678,3201.6242201458335
337,807.2157280722737,510.7385775206499,3895.1906868845285,1383.6668996212763,1367.9803940562817,10473.99381643598,3331.8616450098148,742.3257776240142,1788.7779152352482,2069.264031012008,3090.5434474820227,4054.7978173944134,7913.200864710662,1425.1353509601063,3366.6503264179014,3395.442198906384,558.7645563102444,3004.373091934507,8802.343559384637,517.2342905747279,444.70189481437995,1495.0176778913667,1201.1937829391927,2166.259896888922,13471.122143812992,899.0874862380555,30579.328027981603,10914.86340380547,12623.50770890838,13164.171445956143,36825.581367409366,2556.137230679666,1705.7753949012265,375.8288015252708,1977.5943548074774,784.7996066960837,1011.9807656509478,2945.156963170585,3212.7760852392707,12820.515361059557,18984.741483640137,18139.929883037275,14638.45118643144,34202.9354194189,8685.12408615913,14481.905315105962,159.54519919188652,49428.35048178705,3258.7896931359787,2378.350698176573,4229.010435824589,1986.1997249502156,18333.86268693892,22700.940209451957,9943.320798162587,1258.5208444987986,12680.278555178606,11276.367588677776,12020.072283815329,2312.137027212561,3743.636046153799,7552.706591335551,5029.650281684557,33884.00139459849,25564.60274447387,26015.946964743547,0.0,3857.2721770911444,1144.6671630204287,9630.006108297875,4425.903617865036
339,369.9738753667579,198.6205579243014,1718.4664795105737,285.518566587354,502.5234100634608,3826.1164626150958,1325.6429990781135,247.44192587467143,522.5643347879634,672.5108100773707,959.7961017034463,1747.7576799094504,4297.845691094555,543.8016470777704,1675.7083072625444,1784.339522893637,170.0587780071986,1130.0852914574934,3041.2591511351284,147.78122587878792,101.64614738601189,449.8283278593624,285.1755024233446,979.9747152575203,8654.175437825586,295.22275667527396,9521.958110221616,9436.916144257815,10914.198308216282,11381.652472219723,31839.14543612335,348.14772317507806,277.6843666117801,69.59792620833062,446.9139784878862,181.10760154509364,183.9965028454351,532.2572825017887,1044.1522276975907,2192.355786652984,3197.430144612003,3086.5470048043708,3356.5875331990933,8022.910777395185,4786.687706570858,6135.096673991564,68.37651393937993,9914.617885813259,653.6664538205599,1682.9854516710047,187.67797792177518,253.0190732425709,10621.838315872441,2638.2173756933425,3305.4823193938123,321.9471927784305,43392.145881607554,84315.0113703056,224775.35170667252,13666.38135725885,4855.875741019455,3032.526131368251,34719.60082507671,2420.2858138984134,6992.862073867899,9448.246723768783,0.0,3625.7235949604806,1075.9538219777505,9051.925496430975,4160.220601389519
311FT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313TT,84.08497167421655,85.12309625337382,286.411079918429,65.88889998180824,111.67186890321702,573.9174693922645,319.57465156390975,30.93024073433393,100.49314130543264,77.59740116279711,211.15514237473784,349.55153598189,553.3706898399706,93.75890466861638,213.2719663792395,207.88421625911494,36.44116671587215,220.5044471141043,519.2393672671978,31.667405545425133,38.11730526971592,92.61171455935875,95.05850080781568,103.15523318489443,898.0748095851549,53.67686485005911,2957.260117933344,1141.8942863529944,1320.64972260765,1377.2130353445652,3852.6291534332713,183.23564377635685,79.33839046037744,13.919585241706898,122.90134408396598,80.49226735336366,45.99912571135877,124.1933659170161,240.9582063929453,953.198168110037,1099.1166122059174,758.7042916842829,932.3854258872009,2955.8092337734356,764.8830871327497,1384.7240141955467,22.792171313126644,62671.96415410165,4131.935394224529,332.5659874565515,400.37968623196787,164.46239760711882,1892.3964815559077,1963.3245586533662,1787.110359673165,117.07170646479113,1202.1059180764335,1836.4370073065065,2991.6624350713505,598.6783374047916,542.5559487170157,858.2621126521884,337.81233235176296,640.6638919140421,3886.73031547719,2694.7464247335656,0.0,569.736093523617,169.0723827365219,1422.3943265700004,653.7254623950162
315AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
