bea_code,sector_name,depreciation_rate_on_beginning_real_stock_2022
111CA,Farms,0.07601405858351586
113FF,"Forestry, fishing, and related activities",0.09781103886961609
211,Oil and gas extraction,0.07373160130004357
212,"Mining, except oil and gas",0.06612207750122547
213,Support activities for mining,0.09431567135489162
22,Utilities,0.04083200442262858
23,Construction,0.13971191786419607
321,Wood products,0.09544389863059621
327,Nonmetallic mineral products,0.10004320664173373
331,Primary metals,0.07037301777585378
332,Fabricated metal products,0.08512766350160002
333,Machinery,0.10178966476969847
334,Computer and electronic products,0.2003494398373511
335,"Electrical equipment, appliances, and components",0.11310044328459869
3361MV,"Motor vehicles, bodies and trailers, and parts",0.17326487972674792
3364OT,Other transportation equipment,0.1330571940424859
337,Furniture and related products,0.106854108659281
339,Miscellaneous manufacturing,0.13575808955284077
311FT,Food and beverage and tobacco products,0.08451020337136757
313TT,Textile mills and textile product mills,0.07577965376928376
315AL,Apparel and leather and allied products,0.08401974047902662
322,Paper products,0.09406029178183592
323,Printing and related support activities,0.10343495544142702
324,Petroleum and coal products,0.08999399710716682
325,Chemical products,0.10444399306503731
326,Plastics and rubber products,0.10715732653817359
42,Wholesale trade,0.11874537691676497
441,Motor vehicle and parts dealers,0.05816520381851073
445,Food and beverage stores,0.06736560153724344
452,General merchandise stores,0.08255709696796719
4A0,Other retail,0.08993850545598624
481,Air transportation,0.06398254695655392
482,Rail transportation,0.03046795993008806
483,Water transportation,0.09285892837680024
484,Truck transportation,0.16662430106235832
485,Transit and ground passenger transportation,0.10285589179963342
486,Pipeline transportation,0.04075224570486068
487OS,Other transportation and support activities,0.09361055029557967
493,Warehousing and storage,0.07577933214206863
511,"Publishing industries, except internet (includes software)",0.21298929934161057
512,Motion picture and sound recording industries,0.12178054407256313
513,Broadcasting and telecommunications,0.09135153871328625
514,"Data processing, internet publishing, and other information services",0.2624929597548045
521CI,"Federal Reserve banks, credit intermediation, and related activities",0.14191317439898893
523,"Securities, commodity contracts, and investments",0.19176487235004402
524,Insurance carriers and related activities,0.17697707740789304
525,"Funds, trusts, and other financial vehicles",0.0756192047851471
HS,Housing,0.024027314099519113
ORE,Other real estate,0.043070533126657845
532RL,Rental and leasing services and lessors of intangible assets,0.13647076712972672
5411,Legal services,0.1147221926739412
5415,Computer systems design and related services,0.3297316778755212
5412OP,"Miscellaneous professional, scientific, and technical services",0.1659249184219333
55,Management of companies and enterprises,0.10055404759855656
561,Administrative and support services,0.20941948280617903
562,Waste management and remediation services,0.07268330567310788
61,Educational services,0.0448807833697491
621,Ambulatory health care services,0.09823718890315405
622,Hospitals,0.06894966029492591
623,Nursing and residential care facilities,0.05631178040527369
624,Social assistance,0.0597622623579649
711AS,"Performing arts, spectator sports, museums, and related activities",0.08514787949700701
713,"Amusements, gambling, and recreation industries",0.05713201986377956
721,Accommodation,0.0417272259000025
722,Food services and drinking places,0.07890460743379024
81,"Other services, except government",0.06172029471757706
GFGD,Federal general government (defense),0.09359569907593712
GFGN,Federal general government (nondefense),0.12378982942616003
GFE,Federal government enterprises,0.02293664017283958
GSLG,State and local general government,0.02673186220174914
GSLE,State and local government enterprises,0.022936640172839577
