year,target_definition,bea_code,sector_name,total_final_use_musd,imported_final_use_musd,domestic_final_use_musd,import_to_domestic_ratio,ratio_defined
2019,legacy_core_except_inventory,111CA,Farms,217444.0,22647.0,194797.0,0.11625949064923997,1
2019,social_core_no_fixed_investment,111CA,Farms,217444.0,22647.0,194797.0,0.11625949064923997,1
2019,legacy_core_except_inventory,113FF,"Forestry, fishing, and related activities",15742.0,2814.0,12928.0,0.2176670792079208,1
2019,social_core_no_fixed_investment,113FF,"Forestry, fishing, and related activities",15742.0,2814.0,12928.0,0.2176670792079208,1
2019,legacy_core_except_inventory,211,Oil and gas extraction,88293.0,0.0,88293.0,0.0,1
2019,social_core_no_fixed_investment,211,Oil and gas extraction,88293.0,0.0,88293.0,0.0,1
2019,legacy_core_except_inventory,212,"Mining, except oil and gas",24585.0,43.0,24542.0,0.0017520984434846387,1
2019,social_core_no_fixed_investment,212,"Mining, except oil and gas",24543.0,12.0,24531.0,0.0004891769597651951,1
2019,legacy_core_except_inventory,213,Support activities for mining,122960.0,622.0,122338.0,0.005084274714316075,1
2019,social_core_no_fixed_investment,213,Support activities for mining,2495.0,0.0,2495.0,0.0,1
2019,legacy_core_except_inventory,22,Utilities,289048.0,773.0,288275.0,0.0026814673488856126,1
2019,social_core_no_fixed_investment,22,Utilities,289048.0,773.0,288275.0,0.0026814673488856126,1
2019,legacy_core_except_inventory,23,Construction,1525143.0,0.0,1525143.0,0.0,1
2019,social_core_no_fixed_investment,23,Construction,104.0,0.0,104.0,0.0,1
2019,legacy_core_except_inventory,321,Wood products,25132.0,1873.0,23259.0,0.08052796766842943,1
2019,social_core_no_fixed_investment,321,Wood products,13650.0,1864.0,11786.0,0.15815374172747326,1
2019,legacy_core_except_inventory,327,Nonmetallic mineral products,31729.0,5539.0,26190.0,0.21149293623520427,1
2019,social_core_no_fixed_investment,327,Nonmetallic mineral products,31729.0,5539.0,26190.0,0.21149293623520427,1
2019,legacy_core_except_inventory,331,Primary metals,32118.0,210.0,31908.0,0.006581421587062806,1
2019,social_core_no_fixed_investment,331,Primary metals,32118.0,210.0,31908.0,0.006581421587062806,1
2019,legacy_core_except_inventory,332,Fabricated metal products,111708.0,12652.0,99056.0,0.1277257308996931,1
2019,social_core_no_fixed_investment,332,Fabricated metal products,90809.0,7671.0,83138.0,0.09226827684091511,1
2019,legacy_core_except_inventory,333,Machinery,521496.0,99531.0,421965.0,0.2358750133304895,1
2019,social_core_no_fixed_investment,333,Machinery,157960.0,5857.0,152103.0,0.03850680131226866,1
2019,legacy_core_except_inventory,334,Computer and electronic products,636111.0,211688.0,424423.0,0.4987665607189054,1
2019,social_core_no_fixed_investment,334,Computer and electronic products,287266.0,72259.0,215007.0,0.33607743003716156,1
2019,legacy_core_except_inventory,335,"Electrical equipment, appliances, and components",189585.0,47020.0,142565.0,0.32981447059236135,1
2019,social_core_no_fixed_investment,335,"Electrical equipment, appliances, and components",126775.0,26636.0,100139.0,0.2659902735198075,1
2019,legacy_core_except_inventory,3361MV,"Motor vehicles, bodies and trailers, and parts",892293.0,229522.0,662771.0,0.3463066428675968,1
2019,social_core_no_fixed_investment,3361MV,"Motor vehicles, bodies and trailers, and parts",478352.0,74187.0,404165.0,0.18355622085039525,1
2019,legacy_core_except_inventory,3364OT,Other transportation equipment,247723.0,20983.0,226740.0,0.09254211872629443,1
2019,social_core_no_fixed_investment,3364OT,Other transportation equipment,159912.0,6735.0,153177.0,0.043968742043518284,1
2019,legacy_core_except_inventory,337,Furniture and related products,172788.0,39920.0,132868.0,0.3004485654935726,1
2019,social_core_no_fixed_investment,337,Furniture and related products,124348.0,26332.0,98016.0,0.2686500163238655,1
2019,legacy_core_except_inventory,339,Miscellaneous manufacturing,391531.0,73767.0,317764.0,0.23214398106771061,1
2019,social_core_no_fixed_investment,339,Miscellaneous manufacturing,317202.0,58865.0,258337.0,0.2278612819689011,1
2019,legacy_core_except_inventory,311FT,Food and beverage and tobacco products,1235118.0,61032.0,1174086.0,0.05198256345787276,1
2019,social_core_no_fixed_investment,311FT,Food and beverage and tobacco products,1235118.0,61032.0,1174086.0,0.05198256345787276,1
2019,legacy_core_except_inventory,313TT,Textile mills and textile product mills,92604.0,13091.0,79513.0,0.1646397444443047,1
2019,social_core_no_fixed_investment,313TT,Textile mills and textile product mills,84672.0,12659.0,72013.0,0.17578770499770874,1
2019,legacy_core_except_inventory,315AL,Apparel and leather and allied products,436868.0,139190.0,297678.0,0.46758578060857703,1
2019,social_core_no_fixed_investment,315AL,Apparel and leather and allied products,436868.0,139190.0,297678.0,0.46758578060857703,1
2019,legacy_core_except_inventory,322,Paper products,86149.0,1847.0,84302.0,0.021909325994638323,1
2019,social_core_no_fixed_investment,322,Paper products,86149.0,1847.0,84302.0,0.021909325994638323,1
2019,legacy_core_except_inventory,323,Printing and related support activities,10610.0,349.0,10261.0,0.03401227950492155,1
2019,social_core_no_fixed_investment,323,Printing and related support activities,10610.0,349.0,10261.0,0.03401227950492155,1
2019,legacy_core_except_inventory,324,Petroleum and coal products,464740.0,10233.0,454507.0,0.022514504727099913,1
2019,social_core_no_fixed_investment,324,Petroleum and coal products,464740.0,10233.0,454507.0,0.022514504727099913,1
2019,legacy_core_except_inventory,325,Chemical products,806296.0,119123.0,687173.0,0.17335227082554175,1
2019,social_core_no_fixed_investment,325,Chemical products,804593.0,117941.0,686652.0,0.17176240657567443,1
2019,legacy_core_except_inventory,326,Plastics and rubber products,108126.0,18446.0,89680.0,0.20568688670829616,1
2019,social_core_no_fixed_investment,326,Plastics and rubber products,107083.0,18405.0,88678.0,0.2075486591939376,1
2019,legacy_core_except_inventory,42,Wholesale trade,2544.0,0.0,2544.0,0.0,1
2019,social_core_no_fixed_investment,42,Wholesale trade,2544.0,0.0,2544.0,0.0,1
2019,legacy_core_except_inventory,441,Motor vehicle and parts dealers,0.0,0.0,0.0,0.0,1
2019,social_core_no_fixed_investment,441,Motor vehicle and parts dealers,0.0,0.0,0.0,0.0,1
2019,legacy_core_except_inventory,445,Food and beverage stores,0.0,0.0,0.0,0.0,1
2019,social_core_no_fixed_investment,445,Food and beverage stores,0.0,0.0,0.0,0.0,1
2019,legacy_core_except_inventory,452,General merchandise stores,0.0,0.0,0.0,0.0,1
2019,social_core_no_fixed_investment,452,General merchandise stores,0.0,0.0,0.0,0.0,1
2019,legacy_core_except_inventory,4A0,Other retail,7538.0,0.0,7538.0,0.0,1
2019,social_core_no_fixed_investment,4A0,Other retail,7538.0,0.0,7538.0,0.0,1
2019,legacy_core_except_inventory,481,Air transportation,202524.0,28342.0,174182.0,0.1627148614667417,1
2019,social_core_no_fixed_investment,481,Air transportation,202524.0,28342.0,174182.0,0.1627148614667417,1
2019,legacy_core_except_inventory,482,Rail transportation,2893.0,0.0,2893.0,0.0,1
2019,social_core_no_fixed_investment,482,Rail transportation,2893.0,0.0,2893.0,0.0,1
2019,legacy_core_except_inventory,483,Water transportation,30529.0,0.0,30529.0,0.0,1
2019,social_core_no_fixed_investment,483,Water transportation,30529.0,0.0,30529.0,0.0,1
2019,legacy_core_except_inventory,484,Truck transportation,14252.0,0.0,14252.0,0.0,1
2019,social_core_no_fixed_investment,484,Truck transportation,14252.0,0.0,14252.0,0.0,1
2019,legacy_core_except_inventory,485,Transit and ground passenger transportation,59465.0,0.0,59465.0,0.0,1
2019,social_core_no_fixed_investment,485,Transit and ground passenger transportation,59465.0,0.0,59465.0,0.0,1
2019,legacy_core_except_inventory,486,Pipeline transportation,311.0,0.0,311.0,0.0,1
2019,social_core_no_fixed_investment,486,Pipeline transportation,311.0,0.0,311.0,0.0,1
2019,legacy_core_except_inventory,487OS,Other transportation and support activities,30057.0,1.0,30056.0,3.327122704285334e-05,1
2019,social_core_no_fixed_investment,487OS,Other transportation and support activities,30057.0,1.0,30056.0,3.327122704285334e-05,1
2019,legacy_core_except_inventory,493,Warehousing and storage,438.0,0.0,438.0,0.0,1
2019,social_core_no_fixed_investment,493,Warehousing and storage,438.0,0.0,438.0,0.0,1
2019,legacy_core_except_inventory,511,"Publishing industries, except internet (includes software)",388548.0,2457.0,386091.0,0.006363784703606145,1
2019,social_core_no_fixed_investment,511,"Publishing industries, except internet (includes software)",213959.0,2387.0,211572.0,0.01128221125668803,1
2019,legacy_core_except_inventory,512,Motion picture and sound recording industries,92430.0,1159.0,91271.0,0.012698447480579812,1
2019,social_core_no_fixed_investment,512,Motion picture and sound recording industries,50466.0,1159.0,49307.0,0.02350579025290527,1
2019,legacy_core_except_inventory,513,Broadcasting and telecommunications,406621.0,66.0,406555.0,0.00016233965884074726,1
2019,social_core_no_fixed_investment,513,Broadcasting and telecommunications,366812.0,66.0,366746.0,0.00017996106297001193,1
2019,legacy_core_except_inventory,514,"Data processing, internet publishing, and other information services",135128.0,278.0,134850.0,0.0020615498702261773,1
2019,social_core_no_fixed_investment,514,"Data processing, internet publishing, and other information services",76811.0,256.0,76555.0,0.0033440010450003265,1
2019,legacy_core_except_inventory,521CI,"Federal Reserve banks, credit intermediation, and related activities",379050.0,2898.0,376152.0,0.007704332291201429,1
2019,social_core_no_fixed_investment,521CI,"Federal Reserve banks, credit intermediation, and related activities",379050.0,2898.0,376152.0,0.007704332291201429,1
2019,legacy_core_except_inventory,523,"Securities, commodity contracts, and investments",309865.0,10.0,309855.0,3.227316002646399e-05,1
2019,social_core_no_fixed_investment,523,"Securities, commodity contracts, and investments",309865.0,10.0,309855.0,3.227316002646399e-05,1
2019,legacy_core_except_inventory,524,Insurance carriers and related activities,446670.0,1011.0,445659.0,0.0022685506182978468,1
2019,social_core_no_fixed_investment,524,Insurance carriers and related activities,441264.0,1011.0,440253.0,0.0022964068387949657,1
2019,legacy_core_except_inventory,525,"Funds, trusts, and other financial vehicles",166451.0,0.0,166451.0,0.0,1
2019,social_core_no_fixed_investment,525,"Funds, trusts, and other financial vehicles",166451.0,0.0,166451.0,0.0,1
