flow,owner,asset_type,year,current_cost_musd,quantity_index_2017_100,real_2019price_component_musd,source_table_current,source_table_quantity_index,source_line
investment,private,equipment,2019,1234913,105.976,1234913.0,FAAt307E,FAAt308E,1
investment,private,equipment,2020,1109415,95.341,1110985.8867385068,FAAt307E,FAAt308E,1
investment,private,equipment,2021,1209098,101.142,1178583.5533139578,FAAt307E,FAAt308E,1
investment,private,equipment,2022,1311695,103.048,1200793.715784706,FAAt307E,FAAt308E,1
investment,private,equipment,2023,1408103,107.329,1250679.1856363704,FAAt307E,FAAt308E,1
investment,private,structures,2019,1453327,102.896,1453327.0000000002,FAAt307S,FAAt308S,1
investment,private,structures,2020,1485643,102.319,1445177.3180006996,FAAt307S,FAAt308S,1
investment,private,structures,2021,1696615,107.724,1521518.7932281138,FAAt307S,FAAt308S,1
investment,private,structures,2022,1870603,103.263,1458510.5932300577,FAAt307S,FAAt308S,1
investment,private,structures,2023,1969759,104.807,1480318.407800109,FAAt307S,FAAt308S,1
investment,private,ipp,2019,1074887,117.439,1074887.0,FAAt307I,FAAt308I,1
investment,private,ipp,2020,1136206,122.428,1120549.9504934477,FAAt307I,FAAt308I,1
investment,private,ipp,2021,1263051,134.927,1234949.8739686133,FAAt307I,FAAt308I,1
investment,private,ipp,2022,1423690,150.548,1377924.6083158066,FAAt307I,FAAt308I,1
investment,private,ipp,2023,1524507,159.837,1462944.2810224884,FAAt307I,FAAt308I,1
investment,government,equipment,2019,161428,113.439,161427.99999999997,FAAt705,FAAt706,2
investment,government,equipment,2020,169521,119.0,169341.51394141346,FAAt705,FAAt706,2
investment,government,equipment,2021,169846,116.027,165110.82216874268,FAAt705,FAAt706,2
investment,government,equipment,2022,174769,112.05,159451.40031206197,FAAt705,FAAt706,2
investment,government,equipment,2023,188005,117.196,166774.35351157893,FAAt705,FAAt706,2
investment,government,structures,2019,369449,104.178,369449.0,FAAt705,FAAt706,3
investment,government,structures,2020,378976,105.777,375119.57297126076,FAAt705,FAAt706,3
investment,government,structures,2021,367820,95.874,340000.32085469103,FAAt705,FAAt706,3
investment,government,structures,2022,392889,90.589,321257.99555568356,FAAt705,FAAt706,3
investment,government,structures,2023,455206,99.884,354221.08233984147,FAAt705,FAAt706,3
investment,government,ipp,2019,243226,109.412,243225.99999999997,FAAt705,FAAt706,18
investment,government,ipp,2020,269979,120.964,268906.4258399444,FAAt705,FAAt706,18
investment,government,ipp,2021,294158,130.653,290445.34948634513,FAAt705,FAAt706,18
investment,government,ipp,2022,327289,140.511,312359.96495813987,FAAt705,FAAt706,18
investment,government,ipp,2023,333953,141.817,315263.24024787045,FAAt705,FAAt706,18
depreciation,private,equipment,2019,1011094,107.629,1011094.0,FAAt304E,FAAt305E,1
depreciation,private,equipment,2020,1034608,110.028,1033630.8116957325,FAAt304E,FAAt305E,1
depreciation,private,equipment,2021,1081558,111.575,1048163.7202798502,FAAt304E,FAAt305E,1
depreciation,private,equipment,2022,1176793,113.399,1065298.8368004905,FAAt304E,FAAt305E,1
depreciation,private,equipment,2023,1237699,115.466,1084716.7566733873,FAAt304E,FAAt305E,1
depreciation,private,structures,2019,993311,101.797,993311.0,FAAt304S,FAAt305S,1
depreciation,private,structures,2020,1026977,102.798,1003078.5207619086,FAAt304S,FAAt305S,1
depreciation,private,structures,2021,1112162,103.923,1014056.0041356819,FAAt304S,FAAt305S,1
depreciation,private,structures,2022,1287032,104.896,1023550.3075336209,FAAt304S,FAAt305S,1
depreciation,private,structures,2023,1345230,105.508,1029522.0584889534,FAAt304S,FAAt305S,1
depreciation,private,ipp,2019,875299,114.64,875299.0,FAAt304I,FAAt305I,1
depreciation,private,ipp,2020,944135,122.116,932379.7338101884,FAAt304I,FAAt305I,1
depreciation,private,ipp,2021,1018137,130.668,997675.9397418005,FAAt304I,FAAt305I,1
depreciation,private,ipp,2022,1114551,141.632,1081388.2411723658,FAAt304I,FAAt305I,1
depreciation,private,ipp,2023,1217448,153.351,1170865.1164427774,FAAt304I,FAAt305I,1
depreciation,government,equipment,2019,138686,103.111,138686.0,FAAt703,FAAt704,2
depreciation,government,equipment,2020,142594,105.687,142150.76259564934,FAAt703,FAAt704,2
depreciation,government,equipment,2021,150379,108.318,145689.5011007555,FAAt703,FAAt704,2
depreciation,government,equipment,2022,163178,110.1,148086.32056715578,FAAt703,FAAt704,2
depreciation,government,equipment,2023,170213,111.674,150203.3765941558,FAAt703,FAAt704,2
depreciation,government,structures,2019,241068,101.812,241068.0,FAAt703,FAAt704,3
depreciation,government,structures,2020,245962,102.814,243440.51145248103,FAAt703,FAAt704,3
depreciation,government,structures,2021,266018,103.667,245460.2242957608,FAAt703,FAAt704,3
depreciation,government,structures,2022,301779,104.296,246949.55533728836,FAAt703,FAAt704,3
depreciation,government,structures,2023,318870,104.992,248597.5273641614,FAAt703,FAAt704,3
depreciation,government,ipp,2019,217894,107.249,217894.0,FAAt703,FAAt704,18
depreciation,government,ipp,2020,228442,111.763,227064.93414390812,FAAt703,FAAt704,18
depreciation,government,ipp,2021,242010,117.289,238291.91289429273,FAAt703,FAAt704,18
depreciation,government,ipp,2022,263810,123.991,251908.12925062238,FAAt703,FAAt704,18
depreciation,government,ipp,2023,281257,130.767,265674.68878963904,FAAt703,FAAt704,18
