year,bea_code,sector_name,inventory_change_total_musd,inventory_change_import_musd,inventory_change_domestic_musd
2019,111CA,Farms,-12861.0,213.0,-13074.0
2019,113FF,"Forestry, fishing, and related activities",1377.0,64.0,1313.0
2019,211,Oil and gas extraction,6792.0,723.0,6069.0
2019,212,"Mining, except oil and gas",1038.0,42.0,996.0
2019,213,Support activities for mining,-6.0,0.0,-6.0
2019,22,Utilities,0.0,0.0,0.0
2019,23,Construction,0.0,0.0,0.0
2019,321,Wood products,554.0,57.0,497.0
2019,327,Nonmetallic mineral products,1421.0,124.0,1297.0
2019,331,Primary metals,1966.0,475.0,1491.0
2019,332,Fabricated metal products,4642.0,639.0,4003.0
2019,333,Machinery,4508.0,1098.0,3410.0
2019,334,Computer and electronic products,2432.0,908.0,1524.0
2019,335,"Electrical equipment, appliances, and components",1912.0,480.0,1432.0
2019,3361MV,"Motor vehicles, bodies and trailers, and parts",8601.0,3232.0,5369.0
2019,3364OT,Other transportation equipment,17746.0,-7621.0,25367.0
2019,337,Furniture and related products,666.0,128.0,538.0
2019,339,Miscellaneous manufacturing,2529.0,685.0,1844.0
2019,311FT,Food and beverage and tobacco products,8959.0,481.0,8478.0
2019,313TT,Textile mills and textile product mills,474.0,144.0,330.0
2019,315AL,Apparel and leather and allied products,-551.0,-430.0,-121.0
2019,322,Paper products,876.0,53.0,823.0
2019,323,Printing and related support activities,148.0,13.0,135.0
2019,324,Petroleum and coal products,4765.0,849.0,3916.0
2019,325,Chemical products,9467.0,1174.0,8293.0
2019,326,Plastics and rubber products,1880.0,304.0,1576.0
2019,42,Wholesale trade,0.0,0.0,0.0
2019,441,Motor vehicle and parts dealers,0.0,0.0,0.0
2019,445,Food and beverage stores,0.0,0.0,0.0
2019,452,General merchandise stores,0.0,0.0,0.0
2019,4A0,Other retail,0.0,0.0,0.0
2019,481,Air transportation,0.0,0.0,0.0
2019,482,Rail transportation,0.0,0.0,0.0
2019,483,Water transportation,0.0,0.0,0.0
2019,484,Truck transportation,0.0,0.0,0.0
2019,485,Transit and ground passenger transportation,0.0,0.0,0.0
2019,486,Pipeline transportation,0.0,0.0,0.0
2019,487OS,Other transportation and support activities,0.0,0.0,0.0
2019,493,Warehousing and storage,0.0,0.0,0.0
2019,511,"Publishing industries, except internet (includes software)",510.0,24.0,486.0
2019,512,Motion picture and sound recording industries,-95.0,-2.0,-93.0
2019,513,Broadcasting and telecommunications,0.0,0.0,0.0
2019,514,"Data processing, internet publishing, and other information services",0.0,0.0,0.0
