year,special_code,target_definition,total_final_use_musd,imported_final_use_musd,domestic_final_use_musd
2019,Used,legacy_core_except_inventory,134626.0,10125.0,124501.0
2019,Used,social_core_no_fixed_investment,261589.0,7945.0,253644.0
2019,Other,legacy_core_except_inventory,143003.0,138648.0,4355.0
2019,Other,social_core_no_fixed_investment,133379.0,129024.0,4355.0
2020,Used,legacy_core_except_inventory,121846.0,12921.0,108925.0
2020,Used,social_core_no_fixed_investment,257462.0,8272.0,249190.0
2020,Other,legacy_core_except_inventory,61232.0,57980.0,3252.0
2020,Other,social_core_no_fixed_investment,47672.0,44420.0,3252.0
2021,Used,legacy_core_except_inventory,182279.0,20064.0,162215.0
2021,Used,social_core_no_fixed_investment,363186.0,16039.0,347147.0
2021,Other,legacy_core_except_inventory,84750.0,80527.0,4223.0
2021,Other,social_core_no_fixed_investment,72133.0,67910.0,4223.0
2022,Used,legacy_core_except_inventory,190147.0,14049.0,176098.0
2022,Used,social_core_no_fixed_investment,362102.0,12114.0,349988.0
2022,Other,legacy_core_except_inventory,143298.0,137799.0,5499.0
2022,Other,social_core_no_fixed_investment,129241.0,123742.0,5499.0
2023,Used,legacy_core_except_inventory,186215.0,16898.0,169317.0
2023,Used,social_core_no_fixed_investment,358571.0,16971.0,341600.0
2023,Other,legacy_core_except_inventory,178226.0,172212.0,6014.0
2023,Other,social_core_no_fixed_investment,165848.0,159834.0,6014.0
