variant,technology_mode,year,published,fulfillment,harmony,investment_real_musd,stock_end_real_musd,gross_realized_real_musd,gross_bea_real_musd
E_corrected_baseline,frozen,2019,1,0.9204424549004707,0.45556479605147315,821813.2270404033,61589025.0651754,29576402.160921026,37657954.0
E_corrected_baseline,frozen,2020,1,0.868596321667408,0.44122622403952466,869323.0470213543,59123734.193666585,27263321.66547338,36455308.82220587
E_corrected_baseline,frozen,2021,1,0.7953577961401543,0.41963464511021575,1379211.9637150757,57302684.57418915,27443660.070841804,39005228.98661136
E_corrected_baseline,frozen,2022,1,0.7953577800068418,0.4196346401701375,791189.478611966,54958485.49504863,26912715.33814331,40214441.00726878
E_corrected_baseline,frozen,2023,1,0.6244433352664022,0.36211299176724443,2487777.2101639714,54481729.63364511,25408413.329351954,41278486.467013575
E+1_legacy_maxmin_diagnostic,frozen,2019,1,0.7667769542340422,0.41074910020445304,964555.0703336408,61731766.90846863,25184913.083927702,37657954.0
E+1_legacy_maxmin_diagnostic,frozen,2020,1,0.7765815923509899,0.41382777893397377,809942.005371586,59220721.854767226,24445286.081953134,36455308.82220587
E+1_legacy_maxmin_diagnostic,frozen,2021,1,0.766913382000342,0.41079216068322205,541556.9522228076,56603195.22163235,24915480.749864984,39005228.98661136
E+1_legacy_maxmin_diagnostic,frozen,2022,1,0.7672509060184134,0.4108986658115711,247798.49652230943,53875661.98553646,24935464.035642065,40214441.00726878
E+1_legacy_maxmin_diagnostic,frozen,2023,1,0.7668111369604176,0.4107598898348957,0.0,51100497.96587155,25351253.746745333,41278486.467013575
E+2_forward_cell,frozen,2019,1,0.8668468749992134,0.4407292128420318,1228383.4768488237,61995595.31498383,28728906.382131692,37657954.0
E+2_forward_cell,frozen,2020,1,0.8652235464245371,0.44026723982556404,1655796.30029695,60364807.62696091,28585556.920099244,36455308.82220587
E+2_forward_cell,frozen,2021,1,0.8652235464245371,0.44026723982556404,1397513.3568996312,58549747.090933576,29671070.60285466,39005228.98661136
E+2_forward_cell,frozen,2022,1,0.8652235464245371,0.44026723982556404,1636770.989284217,57042163.86451908,30770707.202223387,40214441.00726878
E+2_forward_cell,frozen,2023,1,0.8652235464245371,0.44026723982556404,0.0,53998255.099581584,28604829.293447755,41278486.467013575
E+3_dynamic_bundle,frozen,2019,1,1.0,0.47619047619047616,1305924.2344048708,62073136.07253987,32700235.7936102,37657954.0
E+3_dynamic_bundle,frozen,2020,1,0.9577151638122893,0.4654264986014628,2982769.5520802266,61662500.03945156,33128282.51903363,36455308.82220587
E+3_dynamic_bundle,frozen,2021,1,0.9556430725299494,0.46488764771493485,2754145.86385601,61046601.97378162,34254590.99802726,39005228.98661136
E+3_dynamic_bundle,frozen,2022,1,0.9455566749800826,0.46224907212081484,1459313.1870254618,59203645.82752764,32459220.20270161,40214441.00726878
E+3_dynamic_bundle,frozen,2023,1,0.906324996279026,0.45173389055109014,0.0,56019669.29382663,29963668.82302289,41278486.467013575
F_corrected_5plus3_shadow,frozen,2019,1,0.9046332239434246,0.45127119172646984,2616770.3849703902,63383982.22310539,32221012.977637388,37657954.0
F_corrected_5plus3_shadow,frozen,2020,1,0.8987798880386405,0.4496642643931112,4272016.991665704,64156154.534939915,33552544.34724206,36455308.82220587
F_corrected_5plus3_shadow,frozen,2021,1,0.8987798880386405,0.4496642643931112,4910479.256421324,65462052.56742457,36126740.97719722,39005228.98661136
F_corrected_5plus3_shadow,frozen,2022,1,0.8987798880386405,0.4496642643931112,4368491.21663731,66119301.266547054,35667651.167775586,40214441.00726878
F_corrected_5plus3_shadow,frozen,2023,1,0.8987798880386405,0.4496642643931112,800107.129796868,63148882.40292308,30929427.486199487,41278486.467013575
F_corrected_5plus3_shadow,frozen,2024,0,0.8987798880386405,0.4496642643931112,760828.860660607,60399137.63660127,30850754.812882293,
F_corrected_5plus3_shadow,frozen,2025,0,0.8987798880386405,0.4496642643931112,700314.513850979,57814298.81845538,30792919.083477076,
F_corrected_5plus3_shadow,frozen,2026,0,0.8987798880386405,0.4496642643931112,0.0,54733749.2078708,29714222.84561198,
E_corrected_baseline,historical,2019,1,0.9360515247927771,0.4597386232099629,781050.4086204711,61548262.246755466,29965630.185121108,37657954.0
