variant,technology_mode,min_fulfillment_2019_2023,mean_harmony_2019_2023,investment_2019_2023_real_musd,stock_end_2023_real_musd,investment_over_bea_2019_2023,stock_end_2023_over_bea,computational_min_fulfillment,computational_mean_harmony,investment_all_horizon_real_musd,stock_terminal_all_real_musd,stop_or_status,capital_transfers_or_stage
E_corrected_baseline,frozen,0.6244433352664022,0.4196346594277191,6349314.926552771,54481729.63364511,0.2687727901475962,0.7873808877672887,0.6244433352664022,0.4196346594277191,6349314.926552771,54481729.63364511,minimum_step,86
E+1_legacy_maxmin_diagnostic,frozen,0.7667769542340422,0.4114055190936231,2563852.5244503436,51100497.96587155,0.10853041698116023,0.7385146493012781,0.7667769542340422,0.4114055190936231,2563852.5244503436,51100497.96587155,lowest_year_has_no_predecessor,223
E+2_forward_cell,frozen,0.8652235464245371,0.44035963442885756,5918464.123329622,53998255.099581584,0.2505344488683914,0.7803936167976694,0.8652235464245371,0.44035963442885756,5918464.123329622,53998255.099581584,Optimization terminated successfully. (HiGHS Status 7: Optimal),3
E+3_dynamic_bundle,frozen,0.906324996279026,0.46409751703575575,8502152.83736657,56019669.29382663,0.35990455140346744,0.809607500305273,0.906324996279026,0.46409751703575575,8502152.83736657,56019669.29382663,Optimization terminated successfully. (HiGHS Status 7: Optimal),3
F_corrected_5plus3_shadow,frozen,0.8987798880386405,0.4499856498597829,16967864.979491595,63148882.40292308,0.7182665320810714,0.912640318548547,0.8987798880386405,0.44986513030978104,18429008.354003184,54733749.2078708,Optimization terminated successfully. (HiGHS Status 7: Optimal),3
E_corrected_baseline,historical,0.6304525492846146,0.4194880521717638,6489951.347337123,54565914.083380215,0.2747260691466431,0.7885975383254547,0.6304525492846146,0.4194880521717638,6489951.347337123,54565914.083380215,minimum_step,74
E+1_legacy_maxmin_diagnostic,historical,0.7450927992088061,0.40530159352102135,2531488.4733633557,51002847.41014193,0.10716041464047435,0.7371033838774675,0.7450927992088061,0.40530159352102135,2531488.4733633557,51002847.41014193,lowest_year_has_no_predecessor,294
E+2_forward_cell,historical,0.8537613469341797,0.437088327145999,5635075.385910331,53635857.63026789,0.23853832290304403,0.7751561758604671,0.8537613469341797,0.437088327145999,5635075.385910331,53635857.63026789,Optimization terminated successfully. (HiGHS Status 7: Optimal),3
E+3_dynamic_bundle,historical,0.9729104022530864,0.46935077067111414,11250686.992451781,58221875.28022861,0.476252724745579,0.8414342230668207,0.9729104022530864,0.46935077067111414,11250686.992451781,58221875.28022861,Optimization terminated successfully. (HiGHS Status 7: Optimal),3
F_corrected_5plus3_shadow,historical,0.967334949285242,0.46791399217610435,16745100.585049516,63291212.31817354,0.7088366946053227,0.9146972990405272,0.967334949285242,0.4679250147470887,22268168.093848728,58128295.12474159,Optimization terminated successfully. (HiGHS Status 7: Optimal),3
