"ID","Settore","output_2012_million_usd"
"1","Farms","404683.0"
"2","Forestry, fishing, and related activities","47868.0"
"3","Oil and gas extraction","313159.0"
"4","Mining, except oil and gas","104348.0"
"5","Support activities for mining","175808.0"
"6","Electric power","363228.0"
"7","Natural gas distribution","79939.0"
"8","Water, sewage, and other systems","12073.0"
"9","Construction","1166731.0"
"10","Wood products","78436.0"
"11","Nonmetallic mineral products","95904.0"
"12","Primary metals","266128.0"
"13","Fabricated metal products","332560.0"
"14","Machinery","384680.0"
"15","Computer and electronic products","305158.0"
"16","Electrical equipment, appliances, and components","118494.0"
"17","Motor vehicles, bodies and trailers, and parts","501020.0"
"18","Other transportation equipment","266579.0"
"19","Furniture and related products","63161.0"
"20","Medical equipment and supplies","85169.0"
"21","Other manufacturing","62430.0"
"22","Food manufacturing","736940.0"
"23","Beverage and tobacco product manufacturing","162756.0"
"24","Textile mills and textile product mills","50811.0"
"25","Apparel and leather and allied products","19644.0"
"26","Paper products","177888.0"
"27","Printing and related support activities","87654.0"
"28","Petroleum and coal products","827025.0"
"29","Chemical products","739184.0"
"30","Plastics and rubber products","211413.0"
"31","Wholesale trade, durable goods","831118.0"
"32","Wholesale trade, nondurable goods","787782.0"
"33","Motor vehicle and parts dealers","153483.0"
"34","Food and beverage stores","184620.0"
"35","General merchandise stores","200345.0"
"36","Other retail","742191.0"
"37","Air transportation","194761.0"
"38","Railroad transportation","77773.0"
"39","Water transportation","48346.0"
"40","Truck transportation","293775.0"
"41","Transit and ground passenger transportation","51018.0"
"42","Pipeline transportation","39780.0"
"43","Other transportation and support activities","191895.0"
"44","Warehousing and storage","112114.0"
"45","Publishing industries (includes software)","263825.0"
"46","Motion picture and sound recording industries","130013.0"
"47","Broadcasting and telecommunications","711853.0"
"48","Information and data processing services","211033.0"
"49","Federal Reserve banks + Depository credit intermediation","459148.0"
"50","Other intermediation + Nondepository credit intermediation","304673.0"
"51","Securities, commodity contracts, and investments","478202.0"
"52","Insurance carriers","511101.0"
"53","Insurance agencies and brokers and related services","284373.0"
"54","Funds, trusts, and other financial vehicles","139737.0"
"55","Real estate","2604678.0"
"56","Rental and leasing services and lessors of intangible assets","325944.0"
"57","Legal services","306917.0"
"58","Computer systems design and related services","407484.0"
"59","Miscellaneous professional, scientific, and technical services","1422215.0"
"60","Management of companies and enterprises","465685.0"
"61","Administrative and support services","663445.0"
"62","Waste management and remediation services","82290.0"
"63","Educational services","245627.0"
"64","Ambulatory health care services","864232.0"
"65","Hospitals","694613.0"
"66","Nursing and residential care facilities","207641.0"
"67","Social assistance","172741.0"
"68","Performing arts, spectator sports, museums, and related activities","132639.0"
"69","Amusements, gambling, and recreation industries","136537.0"
"70","Accommodation","174183.0"
"71","Food services and drinking places","728710.0"
"72","Other services, except government","714717.0"
