ID,Settore,CO2,CH4,N2O,FGAS,PM25,PM10,NOX,SO2,CO,VOC,NH3_AIR,H2S,BENZ,TXYL,MEOH,FORM,STYR,ETO,PHEN,CYAN,CL2,HCL,H2SO4,HF,DIOX,PFAS,CHL_SOLV,PB,HG,AS,CD,CR,NI,MN,CU,ZN,SE,COB,SB,BE,TN,NO3,NH3_W,TP,BOD,COD,TSS,OIL,TDS,PATH,THERM,PEST,SILICA,ASBEST,PHARMA
1,Farms,75367.63343159955,23672.85010736799,2579.797026314424,,0.0,0.0,677.9737938320826,7.000996277740178,1026.9032173524618,1046.9971420824318,7427.679550273464,0.017222526942116817,4.494891509181171,8.620974556224176,32.48531754363494,18.287889634634304,0.12131167386427626,1.2366369688789633e-08,3.3587736832320996,2.6394040209830592e-08,0.001859835448334099,0.02728452809180463,5.602972081860649,3.6541082936453237e-06,0.0,0.0,,0.00019795026884486956,7.744237461544195e-06,0.00020645557976639993,1.3425521618182358e-05,6.6873631781876465e-09,0.0006045724937320448,0.0021371363149665823,0.07172570950258206,2.9629097144756568e-06,5.06178278644012e-06,7.557070197644024e-06,8.68909293662388e-06,1.8062362789165854e-06,3836.2398956414677,0.0,0.0,492.11787079712866,1.1328902983523148,0.0001589986812777548,18.771552231163263,2.291250592148058,12.19700426859435,,,50.19794848409139,,1.1462266207562102e-13,
2,"Forestry, fishing, and related activities",75206.81875156681,0.0,0.0,,0.0,0.0,162.60161080758954,7.700793889980845,821.1157581409395,172.59323621740293,485.0971853608931,0.009858179110320785,2.0719996561799485,8.053664633831273,2.2629832061264006,6.051689738923821,0.15309876403525255,0.00011608333948818181,0.20545791912772915,4.266264575636135e-06,0.0005656949865750522,0.00349354624692954,0.5242227910361353,8.473820625872001e-05,0.0,0.0,,0.008398441857997398,9.924346565779374e-06,0.00017102741370509706,9.084556762558112e-05,3.961318045752017e-07,0.0004937490727100316,0.013799325880180987,0.0060864799841803775,0.00013169704161203357,3.004109033155987e-05,6.3349998981125865e-06,1.7195369338029646e-05,5.423437465759902e-06,223.0339359738609,0.0,0.0,25.40394827506485,0.11270789849299183,0.010614675994065546,4.5410386612844444,0.29753545133521053,0.8616102921360625,,,4.432465972668816,,5.149059550352542e-12,
3,Oil and gas extraction,177545.59185589428,19510.85550790493,3.193266040573638,,0.0,0.0,1218.491417279308,85.29939960208729,1233.716681486853,4789.990050299182,0.4158238730572445,0.8610425888886769,53.302432087076,86.3088592601902,3.6091200302344517,53.277678950430136,0.016746980416907153,0.0,0.008340788206409645,0.022934733902924262,0.0016383578797508672,0.00204153918311741,0.01316413642220435,0.00011363926535989545,1.7632805543680376e-10,0.0,,0.0002530423498673717,8.177052097913711e-05,0.000366907994270106,0.00022454571669999193,0.00015189157585852704,0.0017637875272444978,0.01494208146935305,0.00039101247659860687,0.0009152640443045613,0.00023728559481769862,7.160917225341345e-05,0.0001450096635885918,1.4509517345296345e-06,0.12745220468396498,0.0733796241355879,0.00035759735451111027,0.016885261903878998,0.1131023098776933,0.05488170336573264,21.749390994442088,0.42552444320872473,32.39415390379944,,,0.0,,9.061261870735592e-10,
4,"Mining, except oil and gas",321999.4633342278,27791.62034729942,28.749952083413195,,0.0,0.0,883.7711469560554,420.3357666730378,1083.4821478905988,87.18613253611063,10.163039997939421,1.5637251337137446,1.2113847982299408,1.9097820116599424,0.31047045761433223,3.6099195395434625,0.14228105670926522,2.065354370404959e-07,0.8629508731069317,1.798244073882148,0.026878733028499566,5.0885958177757225,0.18777071362080938,1.5810317281863528,3.809126791489345e-09,0.0,,2243.3837998500153,10.017449916308916,494.3211259350999,0.028017432039291478,0.8500745440842346,9.026557651483602,75.40099070662635,25.31839735461225,1197.2719745657816,0.7516194801935252,0.11792018259735583,0.7633014821632327,0.0014641440379746127,1.72326072379631,2.6898515518372608,0.05333392933386662,0.885249077495092,1.0079577898181065,2.5960636949314293,278.20619698472774,9.617315107311152,25080.750789414797,,,0.0,,2.0283630651188596e-06,
5,Support activities for mining,69393.88423734983,0.0,11.376046596286859,,0.0,0.0,407.3371602628222,42.7155009868255,431.9187185677236,1324.5723921099825,2.0210097478196327,0.31589277816664374,14.696426343026085,24.282926661759383,2.2679263580664255,16.417048072291372,0.010468065472532446,0.0,0.03986077247499013,0.06838245860184358,0.0013700055061567436,0.24766492320963732,0.005304865127445352,0.0671004211231827,1.0260637731399572e-10,0.0,,84.82763435734377,0.393101395532225,18.987749454749473,0.0011987637644196283,0.2683134926413078,0.4707053327996308,4.352190990234474,1.0669503522821115,45.10285915818013,0.08669245254841641,0.05545734993964611,0.02899938754385565,7.011779675578218e-05,0.09407708692890981,0.08979230855231939,0.0036706054716306355,0.03843623223157966,0.057801836758065786,0.12860965152369822,22.651869318925076,0.8592969260738087,740.7994595808618,,,0.0,,7.780921429094413e-08,
6,Electric power,5610891.404921637,198.04500438472888,332.0235801149795,,0.0,0.0,2240.494028540215,2761.9786446849143,1118.218611028552,55.00503977963637,45.316328065596885,0.4217388210575789,0.5718789751127492,1.8719494926355742,0.46043734986215734,4.550871807674662,0.10506238551945013,0.01123257436107156,0.04527749954076942,0.8746306565152987,0.43336178989175406,9.05742993633941,50.578936521087,5.729011282845745,7.123938926983772e-07,0.0,,0.62951420689195,0.02947502232006233,0.5530593482947554,0.01492242210498601,0.9926903300567408,0.9751341723968772,4.16461778570986,1.0029788604684133,2.9984095256142,0.34051953078151515,0.1763068570658855,0.036465190632231685,0.04914213241649511,9.18554956628115,0.9826794605168537,0.1024015876105307,19.601965720660154,3.6947995022340514,0.8756764310854191,164.07385254559188,9.345783011208066,3584.363856488968,,,0.0,,8.4746812435955e-07,
7,Natural gas distribution,492784.4879495375,8130.915681569617,30.24071658277882,,0.0,0.0,340.2412833047343,325.70006543606803,196.15352045594116,19.95528826478132,21.26469975286877,0.05756750784970353,0.216653365445862,0.5448810062396428,3.954466945696166,2.420476420090902,0.013803868652802176,0.001168670036446909,0.0665977217896396,0.09076704132344363,0.080830422451873,0.9798229660616473,5.040400719145097,0.5712602883254876,7.099802921027587e-08,0.0,,0.06936249028171892,0.0032691230306258457,0.055450820558294804,0.005665685498467112,0.10315822890402337,0.11746924334376775,0.4170607105096705,0.1063992895392671,0.42109057769382563,0.03430615802878144,0.017582963218361485,0.003663101605748321,0.004914825775266909,5.7198758296574805,0.10957674780888191,0.01020349028944431,24.447929450130864,4.5684914326377095,0.11068397798345792,26.658901484367846,1.0568783922903378,372.6236712941207,,,0.0,,8.446143258600698e-08,
8,"Water, sewage, and other systems",1447398.1273027218,56993.890539083084,3146.0553631314065,,0.0,0.0,207.9532077594373,89.0585853687606,260.0361512438867,80.95450954233465,43.83200431489764,1.351431517861865,1.0216531049666224,4.5781871460209285,2.052068748890019,1.5028668997976842,0.2828357673103152,0.01165246862939445,0.16158363711164306,0.850092013688518,8.698783369231316,3.2893121183916447,1.043486410048681,0.1824923385993322,1.5861250643987165e-08,0.0,,1.0183572282669142,0.059913294262186445,0.08798273648982603,0.951756233214553,1.0010067085088628,1.7154211534145345,0.42983791960736023,1.251089676197539,28.3911903512594,0.09285236924726714,0.00623348081508707,0.007508351219196643,0.00506827521440105,1112.837416012314,2.718876657272383,0.0018224785053936288,5211.511221556454,972.8973411889117,0.08414455806205179,2354.179048549073,27.53084076455934,3469.6189285334854,,,0.0,,1.777905915924435e-08,
9,Construction,77310.02261875273,0.0,0.857095594442935,,0.0,0.0,225.06215470487112,10.152583262437766,340.792810010664,38.40331044736226,0.7039947693061737,0.03025796583454695,1.0718117933124114,3.13909321999284,0.12226235388563256,5.0757728238173465,0.1687240800066247,7.016847264023043e-05,0.018096522153331584,0.013091512008066505,0.019055585672813177,0.0915994300552306,0.0955079866283291,0.02507376091271372,3.54723917114275e-09,0.0010304496003482465,,10.754703544657046,0.04957307255802515,2.3732946235893597,0.0005562484223739521,0.011597854277069072,0.059195950641051064,0.45554611841936576,0.12848304629900573,5.713713703595605,0.008704309678992076,0.0018148729849583947,0.00380207526159454,0.00010332283499667148,2.7406595169920474,0.05953727818407912,0.0012394482070019488,1.094904695726433,4.3432461254568615,8.107734887431171,108.13536432933302,0.8255226526856005,357.3336509337717,,,0.0,,3.1802285042007445e-07,
10,Wood products,107093.6814727931,0.0,0.0,,0.0,0.0,354.3899744419426,31.54068036628341,736.6027971121173,561.1586610909487,7.00993144290436,0.5903381047153872,2.972620576351116,2.8865539397801943,54.93683270686079,14.975154854279562,2.563547405345741,7.727755594325253e-05,3.63374110200467,0.0010658916777566468,0.3189393019343768,5.1674431527876274,0.01939130304551339,0.023775983997173403,1.7640424126162083e-06,0.0,,0.08063846388671936,0.0015456113720440407,0.011486805213560623,0.00683190650316909,0.001297312292899708,0.028233593565317693,1.2599048124313172,0.004196354912977584,0.13377056784498625,0.013636875730352303,0.007656274575497475,0.003201267220788485,0.0018183603998546537,0.4467692283368827,0.1313417941698712,0.037465556874126865,0.036371055576847194,0.5825485791890984,17.536331233895716,124.28704692725367,2.447770768005637,0.5422508157866139,,,0.007648411697591709,,2.0163581952482517e-10,
