f_bea_code,f_sector_name,eco_id,eco_sector_name,allocation_share,mapping_status,note
111CA,Farms,1,Farms,1,mapped,direct
113FF,"Forestry, fishing, and related activities",2,"Forestry, fishing, and related activities",1,mapped,direct
211,Oil and gas extraction,3,Oil and gas extraction,1,mapped,direct
212,"Mining, except oil and gas",4,"Mining, except oil and gas",1,mapped,direct
213,Support activities for mining,5,Support activities for mining,1,mapped,direct
22,Utilities,6,Electric power,0.3333333333333333,mapped,equal-share proxy
22,Utilities,7,Natural gas distribution,0.3333333333333333,mapped,equal-share proxy
22,Utilities,8,"Water, sewage, and other systems",0.3333333333333334,mapped,equal-share proxy
23,Construction,9,Construction,1,mapped,direct
321,Wood products,10,Wood products,1,mapped,direct
327,Nonmetallic mineral products,11,Nonmetallic mineral products,1,mapped,direct
331,Primary metals,12,Primary metals,1,mapped,direct
332,Fabricated metal products,13,Fabricated metal products,1,mapped,direct
333,Machinery,14,Machinery,1,mapped,direct
334,Computer and electronic products,15,Computer and electronic products,1,mapped,direct
335,"Electrical equipment, appliances, and components",16,"Electrical equipment, appliances, and components",1,mapped,direct
3361MV,"Motor vehicles, bodies and trailers, and parts",17,"Motor vehicles, bodies and trailers, and parts",1,mapped,direct
3364OT,Other transportation equipment,18,Other transportation equipment,1,mapped,direct
337,Furniture and related products,19,Furniture and related products,1,mapped,direct
339,Miscellaneous manufacturing,20,Medical equipment and supplies,0.5,mapped,equal-share proxy
339,Miscellaneous manufacturing,21,Other manufacturing,0.5,mapped,equal-share proxy
311FT,Food and beverage and tobacco products,22,Food manufacturing,0.5,mapped,equal-share proxy
311FT,Food and beverage and tobacco products,23,Beverage and tobacco product manufacturing,0.5,mapped,equal-share proxy
313TT,Textile mills and textile product mills,24,Textile mills and textile product mills,1,mapped,direct
315AL,Apparel and leather and allied products,25,Apparel and leather and allied products,1,mapped,direct
322,Paper products,26,Paper products,1,mapped,direct
323,Printing and related support activities,27,Printing and related support activities,1,mapped,direct
324,Petroleum and coal products,28,Petroleum and coal products,1,mapped,direct
325,Chemical products,29,Chemical products,1,mapped,direct
326,Plastics and rubber products,30,Plastics and rubber products,1,mapped,direct
