year,commodity_code,industry_code,total_use_musd,import_matrix_musd,derived_domestic_musd
2019,111CA,GFGN,54.0,121.0,-67.0
2019,113FF,487OS,1.0,1.0,0.0
2019,321,323,1.0,1.0,0.0
2019,335,315AL,1.0,1.0,0.0
2020,211,42,1.0,1.0,0.0
2020,211,441,1.0,1.0,0.0
2020,211,512,1.0,1.0,0.0
2020,211,55,1.0,1.0,0.0
2020,334,HS,1.0,1.0,0.0
2020,335,315AL,1.0,1.0,0.0
2020,311FT,GFGN,-189.0,3.0,-192.0
2020,313TT,212,1.0,1.0,0.0
2021,111CA,GFGN,39.0,110.0,-71.0
2021,113FF,487OS,1.0,1.0,0.0
2021,335,315AL,1.0,1.0,0.0
2021,313TT,212,1.0,1.0,0.0
2021,315AL,445,1.0,1.0,0.0
2022,111CA,GFGN,-237.0,112.0,-349.0
2022,334,HS,1.0,1.0,0.0
2022,335,315AL,1.0,1.0,0.0
2023,111CA,GFGN,-19.0,107.0,-126.0
2023,113FF,487OS,1.0,1.0,0.0
2023,334,HS,1.0,1.0,0.0
