year,bea_code,sector_name,inventory_change_domestic_real_2019price_musd,abs_flow_envelope_real_2019price_musd
2019,111CA,Farms,-13074.0,13074.0
2019,113FF,"Forestry, fishing, and related activities",1313.0,1313.0
2019,211,Oil and gas extraction,6069.0,6069.0
2019,212,"Mining, except oil and gas",996.0,996.0
2019,213,Support activities for mining,-6.0,6.0
2019,22,Utilities,0.0,0.0
2019,23,Construction,0.0,0.0
2019,321,Wood products,497.0,497.0
2019,327,Nonmetallic mineral products,1297.0,1297.0
2019,331,Primary metals,1491.0,1491.0
2019,332,Fabricated metal products,4003.0,4003.0
2019,333,Machinery,3410.0,3410.0
2019,334,Computer and electronic products,1524.0,1524.0
2019,335,"Electrical equipment, appliances, and components",1432.0,1432.0
2019,3361MV,"Motor vehicles, bodies and trailers, and parts",5369.0,5369.0
2019,3364OT,Other transportation equipment,25367.0,25367.0
2019,337,Furniture and related products,538.0,538.0
2019,339,Miscellaneous manufacturing,1844.0,1844.0
2019,311FT,Food and beverage and tobacco products,8478.0,8478.0
2019,313TT,Textile mills and textile product mills,330.0,330.0
2019,315AL,Apparel and leather and allied products,-121.0,121.0
2019,322,Paper products,823.0,823.0
2019,323,Printing and related support activities,135.0,135.0
2019,324,Petroleum and coal products,3916.0,3916.0
2019,325,Chemical products,8293.0,8293.0
2019,326,Plastics and rubber products,1576.0,1576.0
2019,42,Wholesale trade,0.0,0.0
2019,441,Motor vehicle and parts dealers,0.0,0.0
2019,445,Food and beverage stores,0.0,0.0
2019,452,General merchandise stores,0.0,0.0
2019,4A0,Other retail,0.0,0.0
2019,481,Air transportation,0.0,0.0
2019,482,Rail transportation,0.0,0.0
2019,483,Water transportation,0.0,0.0
2019,484,Truck transportation,0.0,0.0
2019,485,Transit and ground passenger transportation,0.0,0.0
2019,486,Pipeline transportation,0.0,0.0
2019,487OS,Other transportation and support activities,0.0,0.0
2019,493,Warehousing and storage,0.0,0.0
2019,511,"Publishing industries, except internet (includes software)",486.0,486.0
2019,512,Motion picture and sound recording industries,-93.0,93.0
2019,513,Broadcasting and telecommunications,0.0,0.0
2019,514,"Data processing, internet publishing, and other information services",0.0,0.0
2019,521CI,"Federal Reserve banks, credit intermediation, and related activities",0.0,0.0
2019,523,"Securities, commodity contracts, and investments",0.0,0.0
2019,524,Insurance carriers and related activities,0.0,0.0
2019,525,"Funds, trusts, and other financial vehicles",0.0,0.0
2019,HS,Housing,0.0,0.0
2019,ORE,Other real estate,0.0,0.0
2019,532RL,Rental and leasing services and lessors of intangible assets,0.0,0.0
2019,5411,Legal services,0.0,0.0
2019,5415,Computer systems design and related services,0.0,0.0
2019,5412OP,"Miscellaneous professional, scientific, and technical services",0.0,0.0
2019,55,Management of companies and enterprises,0.0,0.0
2019,561,Administrative and support services,0.0,0.0
2019,562,Waste management and remediation services,0.0,0.0
2019,61,Educational services,0.0,0.0
2019,621,Ambulatory health care services,0.0,0.0
2019,622,Hospitals,0.0,0.0
2019,623,Nursing and residential care facilities,0.0,0.0
2019,624,Social assistance,0.0,0.0
2019,711AS,"Performing arts, spectator sports, museums, and related activities",0.0,0.0
2019,713,"Amusements, gambling, and recreation industries",0.0,0.0
2019,721,Accommodation,0.0,0.0
2019,722,Food services and drinking places,0.0,0.0
2019,81,"Other services, except government",0.0,0.0
2019,GFGD,Federal general government (defense),0.0,0.0
2019,GFGN,Federal general government (nondefense),0.0,0.0
2019,GFE,Federal government enterprises,0.0,0.0
2019,GSLG,State and local general government,0.0,0.0
2019,GSLE,State and local government enterprises,0.0,0.0
2020,111CA,Farms,-10803.784273964098,10803.784273964098
2020,113FF,"Forestry, fishing, and related activities",979.2771665381273,979.2771665381273
2020,211,Oil and gas extraction,2384.5712010102893,2384.5712010102893
2020,212,"Mining, except oil and gas",-82.1085275746496,82.1085275746496
