variant,technology_mode,gross_model_2019_2023_real_musd,gross_bea_2019_2023_real_musd,gross_model_over_bea
E_corrected_baseline,frozen,136604512.56473148,194611419.2830996,0.7019347223711166
E+1_legacy_maxmin_diagnostic,frozen,124832397.69813323,194611419.2830996,0.6414443620933702
E+2_forward_cell,frozen,146361070.40075672,194611419.2830996,0.7520682544730147
E+3_dynamic_bundle,frozen,162505998.3363956,194611419.2830996,0.8350280725305204
F_corrected_5plus3_shadow,frozen,168497376.95605174,194611419.2830996,0.8658144397525822
E_corrected_baseline,historical,137685474.14276713,194611419.2830996,0.7074891835739465
E+1_legacy_maxmin_diagnostic,historical,122561489.06357664,194611419.2830996,0.6297754238423567
E+2_forward_cell,historical,145018883.09878036,194611419.2830996,0.7451714993549409
E+3_dynamic_bundle,historical,171610995.47815943,194611419.2830996,0.8818135960897462
F_corrected_5plus3_shadow,historical,180066669.4169746,194611419.2830996,0.9252626083314933
