technology_mode,year,published,pollutant,operational_sector_count,characteristic_sector_count,associated_sector_count,accounting_mode
frozen,2019,1,CO2,52,14,66,qualitative_association
frozen,2019,1,CH4,0,7,7,qualitative_association
frozen,2019,1,N2O,0,5,5,qualitative_association
frozen,2019,1,FGAS,23,16,39,qualitative_association
frozen,2019,1,PM25,35,31,66,qualitative_association
frozen,2019,1,PM10,4,30,34,qualitative_association
frozen,2019,1,NOX,51,15,66,qualitative_association
frozen,2019,1,SO2,4,13,17,qualitative_association
frozen,2019,1,CO,52,14,66,qualitative_association
frozen,2019,1,VOC,13,41,54,qualitative_association
frozen,2019,1,NH3_AIR,0,4,4,qualitative_association
frozen,2019,1,H2S,0,5,5,qualitative_association
frozen,2019,1,BENZ,1,9,10,qualitative_association
frozen,2019,1,TXYL,0,12,12,qualitative_association
frozen,2019,1,MEOH,0,6,6,qualitative_association
frozen,2019,1,FORM,0,16,16,qualitative_association
frozen,2019,1,STYR,0,6,6,qualitative_association
frozen,2019,1,ETO,0,4,4,qualitative_association
frozen,2019,1,PHEN,0,3,3,qualitative_association
frozen,2019,1,CYAN,0,5,5,qualitative_association
frozen,2019,1,CL2,0,4,4,qualitative_association
frozen,2019,1,HCL,0,8,8,qualitative_association
frozen,2019,1,H2SO4,0,8,8,qualitative_association
frozen,2019,1,HF,0,5,5,qualitative_association
frozen,2019,1,DIOX,0,5,5,qualitative_association
frozen,2019,1,PFAS,0,12,12,qualitative_association
frozen,2019,1,CHL_SOLV,0,17,17,qualitative_association
frozen,2019,1,PB,0,23,23,qualitative_association
frozen,2019,1,HG,0,10,10,qualitative_association
frozen,2019,1,AS,0,8,8,qualitative_association
frozen,2019,1,CD,0,8,8,qualitative_association
frozen,2019,1,CR,0,18,18,qualitative_association
frozen,2019,1,NI,0,15,15,qualitative_association
frozen,2019,1,MN,0,9,9,qualitative_association
frozen,2019,1,CU,0,15,15,qualitative_association
frozen,2019,1,ZN,0,13,13,qualitative_association
frozen,2019,1,SE,0,5,5,qualitative_association
frozen,2019,1,COB,0,7,7,qualitative_association
frozen,2019,1,SB,0,3,3,qualitative_association
frozen,2019,1,BE,0,3,3,qualitative_association
frozen,2019,1,TN,0,12,12,qualitative_association
frozen,2019,1,NO3,0,4,4,qualitative_association
frozen,2019,1,NH3_W,0,2,2,qualitative_association
frozen,2019,1,TP,0,12,12,qualitative_association
frozen,2019,1,BOD,0,17,17,qualitative_association
frozen,2019,1,COD,0,31,31,qualitative_association
frozen,2019,1,TSS,0,30,30,qualitative_association
frozen,2019,1,OIL,4,28,32,qualitative_association
frozen,2019,1,TDS,0,8,8,qualitative_association
frozen,2019,1,PATH,0,11,11,qualitative_association
frozen,2019,1,THERM,0,1,1,qualitative_association
frozen,2019,1,PEST,0,6,6,qualitative_association
frozen,2019,1,SILICA,0,4,4,qualitative_association
frozen,2019,1,ASBEST,0,3,3,qualitative_association
frozen,2019,1,PHARMA,0,3,3,qualitative_association
frozen,2020,1,CO2,52,14,66,qualitative_association
frozen,2020,1,CH4,0,7,7,qualitative_association
frozen,2020,1,N2O,0,5,5,qualitative_association
frozen,2020,1,FGAS,23,16,39,qualitative_association
frozen,2020,1,PM25,35,31,66,qualitative_association
frozen,2020,1,PM10,4,30,34,qualitative_association
frozen,2020,1,NOX,51,15,66,qualitative_association
frozen,2020,1,SO2,4,13,17,qualitative_association
frozen,2020,1,CO,52,14,66,qualitative_association
frozen,2020,1,VOC,13,41,54,qualitative_association
frozen,2020,1,NH3_AIR,0,4,4,qualitative_association
frozen,2020,1,H2S,0,5,5,qualitative_association
frozen,2020,1,BENZ,1,9,10,qualitative_association
frozen,2020,1,TXYL,0,12,12,qualitative_association
frozen,2020,1,MEOH,0,6,6,qualitative_association
frozen,2020,1,FORM,0,16,16,qualitative_association
frozen,2020,1,STYR,0,6,6,qualitative_association
frozen,2020,1,ETO,0,4,4,qualitative_association
frozen,2020,1,PHEN,0,3,3,qualitative_association
frozen,2020,1,CYAN,0,5,5,qualitative_association
frozen,2020,1,CL2,0,4,4,qualitative_association
frozen,2020,1,HCL,0,8,8,qualitative_association
frozen,2020,1,H2SO4,0,8,8,qualitative_association
frozen,2020,1,HF,0,5,5,qualitative_association
frozen,2020,1,DIOX,0,5,5,qualitative_association
frozen,2020,1,PFAS,0,12,12,qualitative_association
frozen,2020,1,CHL_SOLV,0,17,17,qualitative_association
frozen,2020,1,PB,0,23,23,qualitative_association
frozen,2020,1,HG,0,10,10,qualitative_association
frozen,2020,1,AS,0,8,8,qualitative_association
frozen,2020,1,CD,0,8,8,qualitative_association
frozen,2020,1,CR,0,18,18,qualitative_association
frozen,2020,1,NI,0,15,15,qualitative_association
frozen,2020,1,MN,0,9,9,qualitative_association
frozen,2020,1,CU,0,15,15,qualitative_association
frozen,2020,1,ZN,0,13,13,qualitative_association
frozen,2020,1,SE,0,5,5,qualitative_association
frozen,2020,1,COB,0,7,7,qualitative_association
frozen,2020,1,SB,0,3,3,qualitative_association
frozen,2020,1,BE,0,3,3,qualitative_association
frozen,2020,1,TN,0,12,12,qualitative_association
frozen,2020,1,NO3,0,4,4,qualitative_association
frozen,2020,1,NH3_W,0,2,2,qualitative_association
