technology_mode,year,published,fulfillment,harmony,investment_real_musd,stock_start_real_musd,stock_end_real_musd,gross_realized_real_musd
frozen,2019,1,0.9046332239434246,0.45127119172646984,2616770.3849703902,64244565.838135004,63383982.22310539,32221012.977637388
frozen,2020,1,0.8987798880386405,0.4496642643931112,4272016.991665704,63383982.22310539,64156154.534939915,33552544.34724206
frozen,2021,1,0.8987798880386405,0.4496642643931112,4910479.256421324,64156154.534939915,65462052.56742457,36126740.97719722
frozen,2022,1,0.8987798880386405,0.4496642643931112,4368491.21663731,65462052.56742457,66119301.266547054,35667651.167775586
frozen,2023,1,0.8987798880386405,0.4496642643931112,800107.129796868,66119301.266547054,63148882.40292308,30929427.486199487
frozen,2024,0,0.8987798880386405,0.4496642643931112,760828.860660607,63148882.40292308,60399137.63660127,30850754.812882293
frozen,2025,0,0.8987798880386405,0.4496642643931112,700314.513850979,60399137.63660127,57814298.81845538,30792919.083477076
frozen,2026,0,0.8987798880386405,0.4496642643931112,0.0,57814298.81845538,54733749.2078708,29714222.84561198
historical,2019,1,0.967334949285242,0.4679139921761044,1859580.2919997731,64244565.838135004,62626792.13013477,32716554.09423697
historical,2020,1,0.967334949285242,0.4679139921761044,3613308.810622297,62626792.13013477,62799495.21268278,34489834.802404575
historical,2021,1,0.967334949285242,0.4679139921761044,3813705.1865388155,62799495.21268278,63083662.92295795,36885282.9419844
historical,2022,1,0.967334949285242,0.4679139921761044,3779397.492128174,63083662.92295795,63266273.94350374,37841708.823839396
historical,2023,1,0.967334949285242,0.4679139921761044,3679108.803760457,63266273.94350374,63291212.31817354,38133288.75450931
historical,2024,0,0.967334949285242,0.4679139921761044,3024602.326437014,63291212.31817354,62660464.13727797,36763307.44139227
historical,2025,0,0.9673598998946089,0.46792041383018185,2498465.1823621965,62660464.13727797,61559555.10615442,35700501.18622428
historical,2026,0,0.96765265926642,0.4679957510899013,0.0,61559555.10615442,58128295.12474159,32186849.273251582
