technology_mode,year,gross_total_real_musd,gross_mapped_real_musd,coverage_ratio,unmapped_ratio
frozen,2019,32221012.977637388,28619347.997855827,0.8882199953713046,0.11178000462869542
frozen,2020,33552544.34724205,29901423.532708324,0.89118199869591,0.10881800130409003
frozen,2021,36126740.97719723,32402318.36498172,0.896906764588416,0.103093235411584
frozen,2022,35667651.167775586,31951539.61803739,0.8958128324105747,0.10418716758942526
frozen,2023,30929427.4861995,27166817.68981681,0.8783485469279527,0.12165145307204728
frozen,2024,30850754.812882293,27088843.12699125,0.8780609515485764,0.12193904845142356
frozen,2025,30792919.083477072,27031396.05528132,0.8778445454294679,0.12215545457053212
frozen,2026,29714222.84561197,25961720.200074114,0.8737135860818246,0.1262864139181754
historical,2019,32716554.09423697,28879055.0034872,0.882704667499633,0.11729533250036706
historical,2020,34489834.80240457,30585980.04552899,0.8868114393924725,0.11318856060752747
historical,2021,36885282.9419844,32906310.70406457,0.8921257498775808,0.10787425012241925
historical,2022,37841708.823839396,33856621.34094709,0.8946906044480266,0.10530939555197338
historical,2023,38133288.7545093,34080766.13866664,0.8937274295450468,0.1062725704549532
historical,2024,36763307.441392265,32721275.584003832,0.890052551342607,0.10994744865739303
historical,2025,35700501.18622428,31666712.210244887,0.8870102984006312,0.11298970159936883
historical,2026,32186849.273251586,28174774.969315093,0.8753505113260444,0.12464948867395564
