technology_mode,year,published,pollutant,value_kg,unit,index_2019_100,ratio_to_2019,signal,signal_interpretation,accounting_method
frozen,2019,1,CO2,3854501675555.499,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,CH4,20032740323.14924,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,N2O,1196694421.6930985,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,FGAS,,kg,,,n.d.,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,PM25,0.0,kg,,,n.d.,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,PM10,0.0,kg,,,n.d.,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,NOX,4850982241.157566,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,SO2,1497966990.4513464,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,CO,7537800562.885765,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,VOC,3783812548.417732,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,NH3_AIR,2837751452.4649563,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,H2S,7969206.204601945,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,BENZ,38321124.64979034,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,TXYL,133562997.8226291,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,MEOH,66803134.02419607,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,FORM,64861232.55457368,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,STYR,12852430.683329023,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,ETO,97279.66817584862,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,PHEN,3599734.651993934,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,CYAN,4496339.464795828,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,CL2,1064063.7206669084,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,HCL,15184768.708744327,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,H2SO4,22994241.906751838,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,HF,3293442.268632936,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,DIOX,1.8670761563943383,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,PFAS,1190.1696189313795,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,CHL_SOLV,,kg,,,n.d.,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,PB,262843997.9243844,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,HG,1206333.1183060354,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,AS,58033317.162450925,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,CD,58439.47735285643,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,CR,777488.9802005416,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,NI,1777541.293232463,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,MN,13741058.55512246,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,CU,3705986.8257397283,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,ZN,142520898.79766497,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,SE,290433.31334047636,kg,100.0,1.0,verde,pressione aggregata relativa al 2019; non pericolosita,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
